condition,img,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,Session,Participant,
img_left,common/recall_cross_IL.png,0,0,0,2,2018_Oct_01_1855,60.01502478818716,Real/Imagery motor movement,12,0,
exec_right,common/recall_cross_ER.png,0,1,1,1,2018_Oct_01_1855,60.01502478818716,Real/Imagery motor movement,12,0,
exec_left,common/recall_cross_EL.png,0,2,2,0,2018_Oct_01_1855,60.01502478818716,Real/Imagery motor movement,12,0,
img_right,common/recall_cross_IR.png,0,3,3,3,2018_Oct_01_1855,60.01502478818716,Real/Imagery motor movement,12,0,
imag_third,common/recall_cross_IT.png,0,4,4,4,2018_Oct_01_1855,60.01502478818716,Real/Imagery motor movement,12,0,
img_right,common/recall_cross_IR.png,1,0,5,3,2018_Oct_01_1855,60.01502478818716,Real/Imagery motor movement,12,0,
exec_left,common/recall_cross_EL.png,1,1,6,0,2018_Oct_01_1855,60.01502478818716,Real/Imagery motor movement,12,0,
exec_right,common/recall_cross_ER.png,1,2,7,1,2018_Oct_01_1855,60.01502478818716,Real/Imagery motor movement,12,0,
imag_third,common/recall_cross_IT.png,1,3,8,4,2018_Oct_01_1855,60.01502478818716,Real/Imagery motor movement,12,0,
img_left,common/recall_cross_IL.png,1,4,9,2,2018_Oct_01_1855,60.01502478818716,Real/Imagery motor movement,12,0,
img_left,common/recall_cross_IL.png,2,0,10,2,2018_Oct_01_1855,60.01502478818716,Real/Imagery motor movement,12,0,
exec_right,common/recall_cross_ER.png,2,1,11,1,2018_Oct_01_1855,60.01502478818716,Real/Imagery motor movement,12,0,
imag_third,common/recall_cross_IT.png,2,2,12,4,2018_Oct_01_1855,60.01502478818716,Real/Imagery motor movement,12,0,
exec_left,common/recall_cross_EL.png,2,3,13,0,2018_Oct_01_1855,60.01502478818716,Real/Imagery motor movement,12,0,
img_right,common/recall_cross_IR.png,2,4,14,3,2018_Oct_01_1855,60.01502478818716,Real/Imagery motor movement,12,0,
img_right,common/recall_cross_IR.png,3,0,15,3,2018_Oct_01_1855,60.01502478818716,Real/Imagery motor movement,12,0,
exec_left,common/recall_cross_EL.png,3,1,16,0,2018_Oct_01_1855,60.01502478818716,Real/Imagery motor movement,12,0,
img_left,common/recall_cross_IL.png,3,2,17,2,2018_Oct_01_1855,60.01502478818716,Real/Imagery motor movement,12,0,
exec_right,common/recall_cross_ER.png,3,3,18,1,2018_Oct_01_1855,60.01502478818716,Real/Imagery motor movement,12,0,
imag_third,common/recall_cross_IT.png,3,4,19,4,2018_Oct_01_1855,60.01502478818716,Real/Imagery motor movement,12,0,
img_right,common/recall_cross_IR.png,4,0,20,3,2018_Oct_01_1855,60.01502478818716,Real/Imagery motor movement,12,0,
exec_left,common/recall_cross_EL.png,4,1,21,0,2018_Oct_01_1855,60.01502478818716,Real/Imagery motor movement,12,0,
exec_right,common/recall_cross_ER.png,4,2,22,1,2018_Oct_01_1855,60.01502478818716,Real/Imagery motor movement,12,0,
imag_third,common/recall_cross_IT.png,4,3,23,4,2018_Oct_01_1855,60.01502478818716,Real/Imagery motor movement,12,0,
img_left,common/recall_cross_IL.png,4,4,24,2,2018_Oct_01_1855,60.01502478818716,Real/Imagery motor movement,12,0,
